UF;UNIDADE;UNIDADE_PADRAO_AEROPORTUARIO;CIDADE_APREENSAO;DATA;DROGA;QUANTIDADE;UNIDADE_MEDIDA;ORIGEM;lat;lon
AC;SR/PF/AC;RBR;RIO BRANCO;03/18/2013;cocaina;1027;gramas;aeroporto;-9,868888855;-67,89805603
AC;SR/PF/AC;RBR;RIO BRANCO;02/23/2014;cocaina;2000;gramas;aeroporto;-9,868888855;-67,89805603
AM;SR/PF/AM;MAO;MANAUS;04/19/2013;cocaina;6100;gramas;aeroporto;-3,038609982;-60,04970169
AM;SR/PF/AM;MAO;MANAUS;04/25/2013;cocaina;7610;gramas;aeroporto;-3,038609982;-60,04970169
AM;SR/PF/AM;MAO;MANAUS;05/06/2013;cocaina;8510;gramas;aeroporto;-3,038609982;-60,04970169
AM;SR/PF/AM;MAO;MANAUS;05/08/2013;cocaina;7130;gramas;aeroporto;-3,038609982;-60,04970169
AM;SR/PF/AM;MAO;MANAUS;05/14/2013;maconha;16740;gramas;aeroporto;-3,038609982;-60,04970169
AM;SR/PF/AM;MAO;MANAUS;05/17/2013;cocaina;4350;gramas;aeroporto;-3,038609982;-60,04970169
AM;SR/PF/AM;MAO;MANAUS;05/19/2013;cocaina;7130;gramas;aeroporto;-3,038609982;-60,04970169
AM;SR/PF/AM;MAO;MANAUS;03/11/2014;cocaina;6280;gramas;aeroporto;-3,038609982;-60,04970169
AM;SR/PF/AM;MAO;MANAUS;03/26/2014;cocaina;12470;gramas;aeroporto;-3,038609982;-60,04970169
AM;SR/PF/AM;MAO;MANAUS;03/26/2014;cocaina;22470;gramas;aeroporto;-3,038609982;-60,04970169
AM;SR/PF/AM;MAO;MANAUS;03/29/2014;cocaina;6730;gramas;aeroporto;-3,038609982;-60,04970169
AM;SR/PF/AM;MAO;MANAUS;04/10/2014;cocaina;57000;gramas;aeroporto;-3,038609982;-60,04970169
AM;SR/PF/AM;MAO;MANAUS;04/11/2014;cocaina;3200;gramas;aeroporto;-3,038609982;-60,04970169
AP;SR/PF/AP;MCP;MACAPA;02/26/2014;maconha;14064;gramas;aeroporto;0,050664;-51,07220078
BA;SR/PF/BA;SSA;SALVADOR;04/10/2013;cocaina;3000;gramas;aeroporto;-12,9086113;-38,32249832
BA;SR/PF/BA;SSA;SALVADOR;04/17/2013;cocaina;3905;gramas;aeroporto;-12,9086113;-38,32249832
BA;SR/PF/BA;SSA;SALVADOR;05/25/2013;lsd;13300;pontos;aeroporto;-12,9086113;-38,32249832
BA;SR/PF/BA;SSA;SALVADOR;05/25/2013;ecstasy;29700;comprimidos;aeroporto;-12,9086113;-38,32249832
BA;SR/PF/BA;SSA;SALVADOR;05/25/2013;haxixe;1000;gramas;aeroporto;-12,9086113;-38,32249832
BA;SR/PF/BA;SSA;SALVADOR;05/25/2013;maconha;36700;gramas;aeroporto;-12,9086113;-38,32249832
BA;SR/PF/BA;SSA;SALVADOR;08/06/2013;cocaina;18500;gramas;aeroporto;-12,9086113;-38,32249832
BA;SR/PF/BA;SSA;SALVADOR;08/23/2013;cocaina;4165;gramas;aeroporto;-12,9086113;-38,32249832
BA;SR/PF/BA;SSA;SALVADOR;08/23/2013;maconha;60;gramas;aeroporto;-12,9086113;-38,32249832
BA;SR/PF/BA;SSA;SALVADOR;09/12/2013;cocaina;5230;gramas;aeroporto;-12,9086113;-38,32249832
BA;SR/PF/BA;SSA;SALVADOR;04/29/2014;cocaina;1500;gramas;aeroporto;-12,9086113;-38,32249832
