idDelegacia;municipio_circuns;idMunicipio;UF_Sede;SEDE;Delegacia;delegacia_code;UF_Municipio
1;Acrelândia;1;AC;RIO BRANCO;Superintendência Regional de Polícia Federal no Acre;SR/DPF/AC;AC
1;Boca do Acre;2;AC;RIO BRANCO;Superintendência Regional de Polícia Federal no Acre;SR/DPF/AC;AM
1;Bujari;3;AC;RIO BRANCO;Superintendência Regional de Polícia Federal no Acre;SR/DPF/AC;AC
1;Capixaba;4;AC;RIO BRANCO;Superintendência Regional de Polícia Federal no Acre;SR/DPF/AC;AC
1;Manoel Urbano;5;AC;RIO BRANCO;Superintendência Regional de Polícia Federal no Acre;SR/DPF/AC;AC
1;Pauini;6;AC;RIO BRANCO;Superintendência Regional de Polícia Federal no Acre;SR/DPF/AC;AM
1;Plácido de Castro;7;AC;RIO BRANCO;Superintendência Regional de Polícia Federal no Acre;SR/DPF/AC;AC
1;Porto Acre;8;AC;RIO BRANCO;Superintendência Regional de Polícia Federal no Acre;SR/DPF/AC;AC
1;Rio Branco;9;AC;RIO BRANCO;Superintendência Regional de Polícia Federal no Acre;SR/DPF/AC;AC
1;Santa Rosa do Purus;10;AC;RIO BRANCO;Superintendência Regional de Polícia Federal no Acre;SR/DPF/AC;AC
1;Sena Madureira;11;AC;RIO BRANCO;Superintendência Regional de Polícia Federal no Acre;SR/DPF/AC;AC
1;Senador Guiomard;12;AC;RIO BRANCO;Superintendência Regional de Polícia Federal no Acre;SR/DPF/AC;AC
2;Cruzeiro do Sul;13;AC;CRUZEIRO DO SUL;Delegacia de Polícia Federal em Cruzeiro do Sul/AC;DPF/CZS/AC;AC
2;Eirunepé;14;AC;CRUZEIRO DO SUL;Delegacia de Polícia Federal em Cruzeiro do Sul/AC;DPF/CZS/AC;AM
2;Envira;15;AC;CRUZEIRO DO SUL;Delegacia de Polícia Federal em Cruzeiro do Sul/AC;DPF/CZS/AC;AM
2;Feijó;16;AC;CRUZEIRO DO SUL;Delegacia de Polícia Federal em Cruzeiro do Sul/AC;DPF/CZS/AC;AC
2;Guajará;17;AC;CRUZEIRO DO SUL;Delegacia de Polícia Federal em Cruzeiro do Sul/AC;DPF/CZS/AC;AM
2;Ipixuna;18;AC;CRUZEIRO DO SUL;Delegacia de Polícia Federal em Cruzeiro do Sul/AC;DPF/CZS/AC;AM
2;Itamarati;19;AC;CRUZEIRO DO SUL;Delegacia de Polícia Federal em Cruzeiro do Sul/AC;DPF/CZS/AC;AM
2;Jordão;20;AC;CRUZEIRO DO SUL;Delegacia de Polícia Federal em Cruzeiro do Sul/AC;DPF/CZS/AC;AC
2;Mâncio Lima;21;AC;CRUZEIRO DO SUL;Delegacia de Polícia Federal em Cruzeiro do Sul/AC;DPF/CZS/AC;AC
2;Marechal Thaumaturgo;22;AC;CRUZEIRO DO SUL;Delegacia de Polícia Federal em Cruzeiro do Sul/AC;DPF/CZS/AC;AC
2;Porto Walter;23;AC;CRUZEIRO DO SUL;Delegacia de Polícia Federal em Cruzeiro do Sul/AC;DPF/CZS/AC;AC
2;Rodrigues Alves;24;AC;CRUZEIRO DO SUL;Delegacia de Polícia Federal em Cruzeiro do Sul/AC;DPF/CZS/AC;AC
2;Tarauacá;25;AC;CRUZEIRO DO SUL;Delegacia de Polícia Federal em Cruzeiro do Sul/AC;DPF/CZS/AC;AC
3;Assis Brasil;26;AC;EPITACIOLÂNDIA;Delegacia de Polícia Federal em Epitaciolândia/AC;DPF/EPA/AC;AC
3;Brasiléia;27;AC;EPITACIOLÂNDIA;Delegacia de Polícia Federal em Epitaciolândia/AC;DPF/EPA/AC;AC
3;Epitaciolândia;28;AC;EPITACIOLÂNDIA;Delegacia de Polícia Federal em Epitaciolândia/AC;DPF/EPA/AC;AC
3;Xapuri;29;AC;EPITACIOLÂNDIA;Delegacia de Polícia Federal em Epitaciolândia/AC;DPF/EPA/AC;AC
4;Água Branca;30;AL;MACEIÓ;Superintendência Regional de Polícia Federal em Alagoas;SR/DPF/AL;AL
4;Anadia;31;AL;MACEIÓ;Superintendência Regional de Polícia Federal em Alagoas;SR/DPF/AL;AL
