ano_laudo;documento;substancia;qtd_comprimidos_unidades;qtd_selos_unidades;qnt_solido_gramas;qtd_erva_gramas;qtd_papel_gramas;volume_ml;Grupo;Observação
2020;Laudo 118/2020-INC/DITEC/PF;MMMP (Caccure 907);;;105,00;;;;catinonas sintéticas;
2020;Laudo 366/2020-INC/DITEC/PF;25C-NBOH;;1000;;;;;feniletilaminas;
2020;Laudo 446/2020-INC/DITEC/PF;Eutilona;124;;;;;;catinonas sintéticas;
2020;Laudo 545/2020-INC/DITEC/PF;25E-NBOH;;500;;;;;feniletilaminas;
2020;Laudo 558/2020-INC/DITEC/PF;25E-NBOH;;375;;;;;feniletilaminas;
2020;Laudo 746/2020-INC/DITEC/PF;N-etilpentilona;49;;;;;;catinonas sintéticas;
2020;Laudo 823/2020-INC/DITEC/PF;25C-NBOH;;20;;;;;feniletilaminas;
2020;Laudo 823/2020-INC/DITEC/PF;25E-NBOH;;10;;;;;feniletilaminas;
2020;Laudo 938/2020-INC/DITEC/PF;25E-NBOH;;1000;;;;;feniletilaminas;
2020;Laudo 1391/2020-INC/DITEC/PF;LSD;;2;;;;;drogas clássicas;
2020;Laudo 1672/2020-INC/DITEC/PF;25C-NBOH;;48;;;;;feniletilaminas;
2020;Laudo 1821/2020-INC/DITEC/PF;N-Etilheptedrona;;;5,30;;;;catinonas sintéticas;
2020;Laudo 1821/2020-INC/DITEC/PF;4F-MDMB-BUTINACA;;;5,20;;;;canabinoides sintéticos;
2020;Laudo 1821/2020-INC/DITEC/PF;5F-MDMB-PICA;;;22,10;;;;canabinoides sintéticos;
2020;Laudo 1821/2020-INC/DITEC/PF;MD-PV8;;;5,80;;;;catinonas sintéticas;
2020;Laudo 1821/2020-INC/DITEC/PF;Eutilona;;;496,00;;;;catinonas sintéticas;
2020;Laudo 1855/2020-INC/DITEC/PF;N-Etilheptedrona;;;135,00;;;;catinonas sintéticas;
2020;Laudo 1976/2020-INC/DITEC/PF;25E-NBOH;;1000;;;;;feniletilaminas;
2020;Laudo 2069/2020-INC/DITEC/PF;25E-NBOH;;50;;;;;feniletilaminas;
2020;Laudo 2069/2020-INC/DITEC/PF;MDMA;;;586,35;;;;drogas clássicas;
2020;Laudo 2074/2020-INC/DITEC/PF;25E-NBOH;;525;;;;;feniletilaminas;
2020;Laudo 2196/2020-INC/DITEC/PF;LSD;;25;;;;;drogas clássicas;
2020;Laudo 2221/2020-INC/DITEC/PF;25E-NBOH;;20;;;;;feniletilaminas;
2020;Laudo 2551/2020-INC/DITEC/PF;25B-NBOH + MDMA;;50;;;;;mistura: droga clássica + feniletilamina;
2020;Laudo 2629/2020-INC/DITEC/PF;5F-MDMB-PICA;;;;;3,08;;canabinoides sintéticos;Em papéis tipo cartolina
2020;Laudo 2692/2020-INC/DITEC/PF;25B-NBOH;;25;;;;;feniletilaminas;
2020;Laudo 2807/2020-INC/DITEC/PF;25C-NBOH;;479;;;;;feniletilaminas;
2020;Laudo 2982/2020-INC/DITEC/PF;25B-NBOMe;;972;;;;;feniletilaminas;
2020;Laudo 2982/2020-INC/DITEC/PF;25I-NBOH;;997;;;;;feniletilaminas;
2020;Laudo 2982/2020-INC/DITEC/PF;25I-NBOMe;;125;;;;;feniletilaminas;
2020;Laudo 2990/2020-INC/DITEC/PF;2C-C + 2C-E;;101;;;;;mistura: feniletilaminas;
2020;Laudo 2991/2020-INC/DITEC/PF;25I-NBOH;;25;;;;;feniletilaminas;
2020;Laudo 3027/2020-INC/DITEC/PF;6-Br-DMPEA;5;;;;;;feniletilaminas;
2020;Laudo 477/2020-SETEC/SR/PF/AM;25E-NBOH;;55;;;;;feniletilaminas;
2020;Laudo 592/2020-SETEC/SR/PF/AM;25C-NBOH;;2;;;;;feniletilaminas;
2020;Laudo 691/2020-SETEC/SR/PF/AM;25E-NBOH;;925;;;;;feniletilaminas;
2020;Laudo 692/2020-SETEC/SR/PF/AM;25E-NBOH;;19;;;;;feniletilaminas;
2020;Laudo 820/2020-SETEC/SR/PF/AM;25B-NBOH;;2175;;;;;feniletilaminas;
2020;Laudo 848/2020-SETEC/SR/PF/AM;25E-NBOH;;9;;;;;feniletilaminas;
2020;Laudo 855/2020-SETEC/SR/PF/AM;Cetamina;;;11,70;;;;Aril-ciclo-alquilaminas;
2020;Laudo 857/2020-SETEC/SR/PF/AM;25E-NBOH;;12;;;;;feniletilaminas;
2020;Laudo 859/2020-SETEC/SR/PF/AM;25E-NBOH;;35;;;;;feniletilaminas;
2020;Laudo 860/2020-SETEC/SR/PF/AM;25E-NBOH;;200;;;;;feniletilaminas;
2020;Laudo 860/2020-SETEC/SR/PF/AM;25C-NBOH;;300;;;;;feniletilaminas;
2020;Laudo 884/2020-SETEC/SR/PF/AM;25C-NBOH;;10;;;;;feniletilaminas;
2020;Laudo 922/2020-SETEC/SR/PF/AM;25I-NBOH;;22;;;;;feniletilaminas;
2020;Laudo 935/2020-SETEC/SR/PF/AM;25E-NBOH;;8;;;;;feniletilaminas;
2020;Laudo 054/2020-SETEC/SR/PF/BA;TFMPP;;;493,60;;;;piperazinas;1-(3-trifluormetilfenil)piperazina
2020;Laudo 522/2020-SETEC/SR/PF/BA;BMDP;;;996,80;;;;catinonas sintéticas;3,4-metilenodioxi-N-benzilcatinona
2020;Laudo 705/2020-SETEC/SR/PF/BA;N,N-Dietilpentilona;;;1035,00;;;;catinonas sintéticas;
2020;Laudo 866/2020-SETEC/SR/PF/BA;N-Butilpentilona;;;460,33;;;;catinonas sintéticas;
2020;Laudo 866/2020-SETEC/SR/PF/BA;N-Butilhexedrona;;;499,06;;;;catinonas sintéticas;
2020;Laudo 046/2020-SETEC/SR/PF/CE;DOET;;1025;;;;;feniletilaminas;
2020;Laudo 052/2020-SETEC/SR/PF/CE;DOI;;4;;;;;feniletilaminas;
2020;Laudo 1050/2020-SETEC/SR/PF/CE;Etilona;;;0,78;;;;catinonas sintéticas;
2020;Laudo 015/2020-SETEC/SR/PF/ES;2C-B;;25;;;;;feniletilaminas;
2020;Laudo 016/2020-SETEC/SR/PF/ES;N-etilpentilona;25;;;;;;catinonas sintéticas;
2020;Laudo 098/2020-SETEC/SR/PF/ES;2C-E + MDMA;;10;;;;;mistura: droga clássica + feniletilamina;
2020;Laudo 099/2020-SETEC/SR/PF/ES;2C-E;;98;;;;;feniletilaminas;
2020;Laudo 099/2020-SETEC/SR/PF/ES;25I-NBOH;;6;;;;;feniletilaminas;
2020;Laudo 528/2020-SETEC/SR/PF/ES;N-Butilpentilona;60;;;;;;catinonas sintéticas;
2020;Laudo 528/2020-SETEC/SR/PF/ES;Mistura: MDMA + N-Butilpentilona;40;;;;;;mistura: droga clássica + catinona sintética;
2020;Laudo 006/2020-SETEC/SR/PF/GO;25E-NBOH;;25;;;;;feniletilaminas;
2020;Laudo 007/2020-SETEC/SR/PF/GO;25E-NBOH;;25;;;;;feniletilaminas;
2020;Laudo 008/2020-SETEC/SR/PF/GO;25E-NBOH;;25;;;;;feniletilaminas;
2020;Laudo 017/2020-SETEC/SR/PF/GO;25E-NBOH;;500;;;;;feniletilaminas;
2020;Laudo 025/2020-SETEC/SR/PF/GO;25E-NBOH;;500;;;;;feniletilaminas;
2020;Laudo 107/2020-SETEC/SR/PF/GO;25E-NBOH;;100;;;;;feniletilaminas;
2020;Laudo 112/2020-SETEC/SR/PF/GO;25E-NBOH;;225;;;;;feniletilaminas;
2020;Laudo 113/2020-SETEC/SR/PF/GO;25E-NBOH;;50;;;;;feniletilaminas;
2020;Laudo 114/2020-SETEC/SR/PF/GO;25E-NBOH;;500;;;;;feniletilaminas;
2020;Laudo 387/2020-SETEC/SR/PF/GO;25C-NBOH;;50;;;;;feniletilaminas;
2020;Laudo 324/2020-SETEC/SR/PF/MG;Eutilona;92;;;;;;catinonas sintéticas;
2020;Laudo 461/2020-SETEC/SR/PF/MG;Eutilona;972;;;;;;catinonas sintéticas;
2020;Laudo 1236/2020-SETEC/SR/PF/MG;2C-B;5;;;;;;feniletilaminas;
2020;Laudo 1348/2020-SETEC/SR/PF/MG;25I-NBOH;;1000;;;;;feniletilaminas;
2020;Laudo 453/2020-SETEC/SR/PF/PE;2C-E + MDMA;;25;;;;;mistura: droga clássica + feniletilamina;
2020;Laudo 860/2020-SETEC/SR/PF/PE;2C-E;;4;;;;;feniletilaminas;
2020;Laudo 118/2020-NUTEC/DPF/FIG/PR;Eutilona;;;4080,00;;;;catinonas sintéticas;
2020;Laudo 1509/2020-NUTEC/DPF/FIG/PR;Metanfetamina;;;4,00;;;;drogas clássicas;
2020;Laudo 1087/2020-SETEC/SR/PF/PR;25I-NBOH;;399;;;;;feniletilaminas;
2020;Laudo 272/2020-SETEC/SR/PF/RN;2C-E;;;254,43;;;;feniletilaminas;
2020;Laudo 272/2020-SETEC/SR/PF/RN;5F-MDMB-PICA;;;5,98;;;;canabinoides sintéticos;
2020;Laudo 482/2020-SETEC/SR/PF/RN;BMDP;;;481,40;;;;catinonas sintéticas;
2020;Laudo 482/2020-SETEC/SR/PF/RN;N-Butilhexedrona;;;71,60;;;;catinonas sintéticas;
2020;Laudo 482/2020-SETEC/SR/PF/RN;Eutilona;;;1,60;;;;catinonas sintéticas;
2020;Laudo 482/2020-SETEC/SR/PF/RN;N-Butilpentilona;;;2,80;;;;catinonas sintéticas;
2020;Laudo 482/2020-SETEC/SR/PF/RN;3-CDC;;;1,40;;;;catinonas sintéticas;
2020;Laudo 327/2020-SETEC/SR/PF/RS;5F-MDMB-PICA;;;1002,62;;;;canabinoides sintéticos;
2020;Laudo 536/2020-SETEC/SR/PF/RS;tBuONE;;;255,00;;;;catinonas sintéticas;3,4- metilenodioxi-N-tert-butilcatinona
2020;Laudo 577/2020-SETEC/SR/PF/RS;4F-MDMB-BUTINACA;;;46,80;;;;canabinoides sintéticos;4F-MDMB-BUTINACA
2020;Laudo 820/2020-SETEC/SR/PF/RS;Eutilona;;;101,20;;;;catinonas sintéticas;
2020;Laudo 1709/2020-NUCRIM/SETEC/SR/PF/SP;2C-C + 2C-E;;15;;;;;mistura: feniletilaminas;
2020;Laudo 2182/2020-NUCRIM/SETEC/SR/PF/SP;25C-NBOH;;25;;;;;feniletilaminas;
2020;Laudo 2405/2020-NUCRIM/SETEC/SR/PF/SP;25I-NBOH;;50;;;;;feniletilaminas;
2020;Laudo 2772/2020-NUCRIM/SETEC/SR/PF/SP;25E-NBOH;;5100;;;;;feniletilaminas;
2020;Laudo 106/2020-SETEC/SR/PF/TO;GHB;;;;;;750,00;drogas clássicas;
2020;Laudo 204/2020-SETEC/SR/PF/TO;Eutilona;;;405,93;;;;catinonas sintéticas;
2020;Laudo 2415/2019-INC/DITEC/PF;MDMA;69;;;;;;drogas clássicas;
2020;Laudo 2459/2019-INC/DITEC/PF;MDMA;100;;;;;;drogas clássicas;
2020;Laudo 128/2020-INC/DITEC/PF;MDMA;25;;;;;;drogas clássicas;
2020;Laudo 128/2020-INC/DITEC/PF;MDA;224;;;;;;drogas clássicas;
2020;Laudo 189/2020-INC/DITEC/PF;MDMA;1;;;;;;drogas clássicas;
2020;Laudo 189/2020-INC/DITEC/PF;MDMA;;;0,20;;;;drogas clássicas;
2020;Laudo 190/2020-INC/DITEC/PF;MDMA;13;;;;;;drogas clássicas;
2020;Laudo 199/2020-INC/DITEC/PF;MDMA;200;;;;;;drogas clássicas;
2020;Laudo 280/2020-INC/DITEC/PF;MDMA;50;;;;;;drogas clássicas;
2020;Laudo 281/2020-INC/DITEC/PF;MDMA;50;;;;;;drogas clássicas;
2020;Laudo 317/2020-INC/DITEC/PF;MDMA;12;;;;;;drogas clássicas;
2020;Laudo 327/2020-INC/DITEC/PF;MDMA;;;11,00;;;;drogas clássicas;
2020;Laudo 481/2020-INC/DITEC/PF;MDMA;;;2,03;;;;drogas clássicas;
2020;Laudo 495/2020-INC/DITEC/PF;MDMA;;;28,80;;;;drogas clássicas;
2020;Laudo 506/2020-INC/DITEC/PF;MDMA;;;24,72;;;;drogas clássicas;
2020;Laudo 514/2020-INC/DITEC/PF;MDMA;;;24,63;;;;drogas clássicas;
2020;Laudo 519/2020-INC/DITEC/PF;MDMA;50;;;;;;drogas clássicas;
2020;Laudo 592/2020-INC/DITEC/PF;MDMA;100;;;;;;drogas clássicas;
2020;Laudo 721/2020-INC/DITEC/PF;MDMA;100;;;;;;drogas clássicas;
2020;Laudo 788/2020-INC/DITEC/PF;MDMA;;;51,89;;;;drogas clássicas;
2020;Laudo 788/2020-INC/DITEC/PF;MDMA;865;;;;;;drogas clássicas;
2020;Laudo 788/2020-INC/DITEC/PF;MDA;97;;;;;;drogas clássicas;
2020;Laudo 813/2020-INC/DITEC/PF;MDMA;227;;;;;;drogas clássicas;
2020;Laudo 921/2020-INC/DITEC/PF;MDMA;;;12,00;;;;drogas clássicas;
2020;Laudo 939/2020-INC/DITEC/PF;MDMA;50;;;;;;drogas clássicas;
2020;Laudo 949/2020-INC/DITEC/PF;MDMA;65;;;;;;drogas clássicas;
2020;Laudo 949/2020-INC/DITEC/PF;Eutilona;1;;;;;;catinonas sintéticas;
2020;Laudo 954/2020-INC/DITEC/PF;MDMA;;;1120,00;;;;drogas clássicas;
2020;Laudo 954/2020-INC/DITEC/PF;MDMA;1;;;;;;drogas clássicas;
2020;Laudo 954/2020-INC/DITEC/PF;MDA;2;;;;;;drogas clássicas;
