UF;Grupo;Tipo;Unidade;Ano;Quantidade
AC;Diversos;DEF;unid;2022;0
AC;Diversos;DEF;unid;2023;40
AC;Diversos;DEF;unid;2024;0
AL;Diversos;DEF;unid;2022;0
AL;Diversos;DEF;unid;2023;649
AL;Diversos;DEF;unid;2024;1507
BA;Diversos;DEF;unid;2022;372
BA;Diversos;DEF;unid;2023;1102
BA;Diversos;DEF;unid;2024;2834
CE;Diversos;DEF;unid;2022;0
CE;Diversos;DEF;unid;2023;5
CE;Diversos;DEF;unid;2024;0
DF;Diversos;DEF;unid;2022;0
DF;Diversos;DEF;unid;2023;426
DF;Diversos;DEF;unid;2024;2518
GO;Diversos;DEF;unid;2022;3789
GO;Diversos;DEF;unid;2023;11146
GO;Diversos;DEF;unid;2024;2924
MA;Diversos;DEF;unid;2022;160
MA;Diversos;DEF;unid;2023;37
MA;Diversos;DEF;unid;2024;0
MG;Diversos;DEF;unid;2022;1868
MG;Diversos;DEF;unid;2023;1139
MG;Diversos;DEF;unid;2024;1176
MS;Diversos;DEF;unid;2022;3873
MS;Diversos;DEF;unid;2023;56359
MS;Diversos;DEF;unid;2024;27949
MT;Diversos;DEF;unid;2022;11
MT;Diversos;DEF;unid;2023;1634
MT;Diversos;DEF;unid;2024;2081
PA;Diversos;DEF;unid;2022;0
PA;Diversos;DEF;unid;2023;374
PA;Diversos;DEF;unid;2024;0
PB;Diversos;DEF;unid;2022;0
PB;Diversos;DEF;unid;2023;4
PB;Diversos;DEF;unid;2024;0
PE;Diversos;DEF;unid;2022;0
PE;Diversos;DEF;unid;2023;30
PE;Diversos;DEF;unid;2024;288
PI;Diversos;DEF;unid;2022;294
PI;Diversos;DEF;unid;2023;319
PI;Diversos;DEF;unid;2024;1116
PR;Diversos;DEF;unid;2022;35200
PR;Diversos;DEF;unid;2023;149591
PR;Diversos;DEF;unid;2024;469812
RJ;Diversos;DEF;unid;2022;0
RJ;Diversos;DEF;unid;2023;326
RJ;Diversos;DEF;unid;2024;29
RN;Diversos;DEF;unid;2022;0
RN;Diversos;DEF;unid;2023;1756
RN;Diversos;DEF;unid;2024;0
RO;Diversos;DEF;unid;2022;0
RO;Diversos;DEF;unid;2023;60
RO;Diversos;DEF;unid;2024;48
RS;Diversos;DEF;unid;2022;1183
RS;Diversos;DEF;unid;2023;2316
RS;Diversos;DEF;unid;2024;2106
SC;Diversos;DEF;unid;2022;90
SC;Diversos;DEF;unid;2023;5719
SC;Diversos;DEF;unid;2024;4959
SE;Diversos;DEF;unid;2022;0
SE;Diversos;DEF;unid;2023;150
SE;Diversos;DEF;unid;2024;1
SP;Diversos;DEF;unid;2022;645
SP;Diversos;DEF;unid;2023;11000
SP;Diversos;DEF;unid;2024;41704
TO;Diversos;DEF;unid;2022;3714
TO;Diversos;DEF;unid;2023;2667
TO;Diversos;DEF;unid;2024;1908
