uf;municipio;evento;data_referencia;total;total_peso;abrangencia;formulario;ano;ano_data;mes_data;trimestre_data
AC;NÃO INFORMADO;Tráfico de drogas;01/01/2015;;;Estadual;Formulário 4;2015;2015;1;1
AL;NÃO INFORMADO;Tráfico de drogas;01/01/2015;121;;Estadual;Formulário 4;2015;2015;1;1
AM;NÃO INFORMADO;Tráfico de drogas;01/01/2015;117;;Estadual;Formulário 4;2015;2015;1;1
AP;NÃO INFORMADO;Tráfico de drogas;01/01/2015;24;;Estadual;Formulário 4;2015;2015;1;1
BA;NÃO INFORMADO;Tráfico de drogas;01/01/2015;433;;Estadual;Formulário 4;2015;2015;1;1
CE;NÃO INFORMADO;Tráfico de drogas;01/01/2015;332;;Estadual;Formulário 4;2015;2015;1;1
DF;NÃO INFORMADO;Tráfico de drogas;01/01/2015;250;;Estadual;Formulário 4;2015;2015;1;1
GO;NÃO INFORMADO;Tráfico de drogas;01/01/2015;;;Estadual;Formulário 4;2015;2015;1;1
MA;NÃO INFORMADO;Tráfico de drogas;01/01/2015;141;;Estadual;Formulário 4;2015;2015;1;1
MG;NÃO INFORMADO;Tráfico de drogas;01/01/2015;2323;;Estadual;Formulário 4;2015;2015;1;1
MS;NÃO INFORMADO;Tráfico de drogas;01/01/2015;284;;Estadual;Formulário 4;2015;2015;1;1
MT;NÃO INFORMADO;Tráfico de drogas;01/01/2015;249;;Estadual;Formulário 4;2015;2015;1;1
PA;NÃO INFORMADO;Tráfico de drogas;01/01/2015;432;;Estadual;Formulário 4;2015;2015;1;1
PB;NÃO INFORMADO;Tráfico de drogas;01/01/2015;52;;Estadual;Formulário 4;2015;2015;1;1
PE;NÃO INFORMADO;Tráfico de drogas;01/01/2015;423;;Estadual;Formulário 4;2015;2015;1;1
PI;NÃO INFORMADO;Tráfico de drogas;01/01/2015;5;;Estadual;Formulário 4;2015;2015;1;1
PR;NÃO INFORMADO;Tráfico de drogas;01/01/2015;;;Estadual;Formulário 4;2015;2015;1;1
RJ;NÃO INFORMADO;Tráfico de drogas;01/01/2015;2263;;Estadual;Formulário 4;2015;2015;1;1
RN;NÃO INFORMADO;Tráfico de drogas;01/01/2015;12;;Estadual;Formulário 4;2015;2015;1;1
RO;NÃO INFORMADO;Tráfico de drogas;01/01/2015;100;;Estadual;Formulário 4;2015;2015;1;1
RR;NÃO INFORMADO;Tráfico de drogas;01/01/2015;;;Estadual;Formulário 4;2015;2015;1;1
RS;NÃO INFORMADO;Tráfico de drogas;01/01/2015;748;;Estadual;Formulário 4;2015;2015;1;1
